blocker_key,function_name,branch_line_number,blocked_side_line_number,source_file,old_rank,new_rank,old_score,new_score,reach_confidence,coverage_benefit,unlock_ratio,solvability_score,solvability_reason,evidence_grade,evidence_pattern,evidence_callee,evidence_variable,resource_terms,project_branch_hit_count,blocked_unique_not_covered_complexity,blocked_unique_reachable_complexity,blocked_unique_functions,branch_context,blocked_side_context,manual_label,manual_reason,reviewer
GetTable:1098:0,GetTable,1098,1100,/src/lcms/src/cmscgats.c,8,14,35.54258287213379,3.4339872044851463,1.0,3.4339872044851463,1.0,1.0,normal,none,none,,,,5340000,30,30,SynError,"
static
TABLE* GetTable(cmsIT8* it8)
{
   if ((it8 -> nTable >= it8 ->TablesCount)) {

           SynError(it8, ""Table %d out of sequence"", it8 -> nTable);
           return it8 -> Tab;
   }","TABLE* GetTable(cmsIT8* it8)
{
   if ((it8 -> nTable >= it8 ->TablesCount)) {

           SynError(it8, ""Table %d out of sequence"", it8 -> nTable);
           return it8 -> Tab;
   }

   return it8 ->Tab + it8 ->nTable;",non_resource_guard,nTable >= TablesCount 代表 parser table sequence 錯誤，屬於 counter/parser state。,V
_cmsReadFloatInputTag:272:1,_cmsReadFloatInputTag,272,276,/src/lcms/src/cmsio1.c,44,8,26.746227638246417,3.6609338032704692,0.6568200361952278,5.573724310356336,0.9038961038961039,1.0,normal,unknown,same_variable_call_null_check_without_resource_evidence,cmsPipelineDup,Lut,,36,348,385,_cmsStageNormalizeFromLabFloat | _cmsStageNormalizeFromXyzFloat | _cmsStageNormalizeToLabFloat | _cmsStageNormalizeToXyzFloat | cmsPipelineFree | cmsPipelineInsertStage,"    cmsPipeline* Lut           = cmsPipelineDup((cmsPipeline*) cmsReadTag(hProfile, tagFloat));
    cmsColorSpaceSignature spc = cmsGetColorSpace(hProfile);
    cmsColorSpaceSignature PCS = cmsGetPCS(hProfile);
    
    if (Lut == NULL) return NULL;
    
    // input and output of transform are in lcms 0..1 encoding.  If XYZ or Lab spaces are used, 
    //  these need to be normalized into the appropriate ranges (Lab = 100,0,0, XYZ=1.0,1.0,1.0)
    if ( spc == cmsSigLabData)","    if (Lut == NULL) return NULL;
    
    // input and output of transform are in lcms 0..1 encoding.  If XYZ or Lab spaces are used, 
    //  these need to be normalized into the appropriate ranges (Lab = 100,0,0, XYZ=1.0,1.0,1.0)
    if ( spc == cmsSigLabData)
    {
        if (!cmsPipelineInsertStage(Lut, cmsAT_BEGIN, _cmsStageNormalizeToLabFloat(ContextID)))
            goto Error;
    }",non_resource_guard,blocked side 是 Lut != NULL 的正常處理路徑；failure return 位於另一側。,V
BuildRGBOutputMatrixShaper:496:0,BuildRGBOutputMatrixShaper,496,498,/src/lcms/src/cmsio1.c,22,9,30.640315871557235,3.64300313192615,0.9685746623067896,3.7612001156935624,1.0,1.0,normal,none,none,,,,48500,42,42,_cmsStageAllocLab2XYZ,"
        // Note that it is certainly possible a single profile would have a LUT based
        // tag for output working in lab and a matrix-shaper for the fallback cases. 
        // This is not allowed by the spec, but this code is tolerant to those cases    
        if (cmsGetPCS(hProfile) == cmsSigLabData) {

            if (!cmsPipelineInsertStage(Lut, cmsAT_END, _cmsStageAllocLab2XYZ(ContextID)))
                goto Error;
        }","        // tag for output working in lab and a matrix-shaper for the fallback cases. 
        // This is not allowed by the spec, but this code is tolerant to those cases    
        if (cmsGetPCS(hProfile) == cmsSigLabData) {

            if (!cmsPipelineInsertStage(Lut, cmsAT_END, _cmsStageAllocLab2XYZ(ContextID)))
                goto Error;
        }

        if (!cmsPipelineInsertStage(Lut, cmsAT_END, cmsStageAllocMatrix(ContextID, 3, 3, (cmsFloat64Number*) &Inv, NULL)) ||",non_resource_guard,依 PCS 是否為 Lab 決定是否加入 Lab-to-XYZ stage。,V
cmsWriteTag:1869:0,cmsWriteTag,1869,1871,/src/lcms/src/cmsio0.c,9,11,35.133492831701936,3.5553480614894135,1.0,3.5553480614894135,1.0,1.0,normal,none,none,,,,1370000,34,34,_cmsTagSignature2String | cmsSignalError,"    LocalTypeHandler.ContextID  = Icc ->ContextID;
    LocalTypeHandler.ICCVersion = Icc ->Version;
    Icc ->TagPtrs[i]            = LocalTypeHandler.DupPtr(&LocalTypeHandler, data, TagDescriptor ->ElemCount);

    if (Icc ->TagPtrs[i] == NULL)  {

        _cmsTagSignature2String(TypeString, (cmsTagSignature) Type);
        _cmsTagSignature2String(SigString,  sig);
        cmsSignalError(Icc ->ContextID, cmsERROR_CORRUPTION_DETECTED, ""Malformed struct in type '%s' for tag '%s'"", TypeString, SigString);","    Icc ->TagPtrs[i]            = LocalTypeHandler.DupPtr(&LocalTypeHandler, data, TagDescriptor ->ElemCount);

    if (Icc ->TagPtrs[i] == NULL)  {

        _cmsTagSignature2String(TypeString, (cmsTagSignature) Type);
        _cmsTagSignature2String(SigString,  sig);
        cmsSignalError(Icc ->ContextID, cmsERROR_CORRUPTION_DETECTED, ""Malformed struct in type '%s' for tag '%s'"", TypeString, SigString);

        goto Error;",unknown,DupPtr 是動態 type handler；NULL 可能來自 allocation failure，也可能代表 malformed plugin data，無法唯一判定。,V
AddMLUBlock:150:0,AddMLUBlock,150,151,/src/lcms/src/cmsnamed.c,10,12,34.34401450024062,3.5263605246161616,1.0,3.5263605246161616,1.0,1.0,normal,none,none,,,,740000,33,33,GrowMLUtable,"    // Sanity check
    if (mlu == NULL) return FALSE;

    // Is there any room available?
    if (mlu ->UsedEntries >= mlu ->AllocatedEntries) {
        if (!GrowMLUtable(mlu)) return FALSE;
    }

    // Only one ASCII string","    if (mlu == NULL) return FALSE;

    // Is there any room available?
    if (mlu ->UsedEntries >= mlu ->AllocatedEntries) {
        if (!GrowMLUtable(mlu)) return FALSE;
    }

    // Only one ASCII string
    if (SearchMLUEntry(mlu, LanguageCode, CountryCode) >= 0) return FALSE;  // Only one  is allowed!",non_resource_guard,條件是 entry table 已滿並進入 grow 流程；容量滿可由正常新增資料觸發，並非 allocation failure 本身。,V
cmsDetectTAC:491:1,cmsDetectTAC,491,494,/src/lcms/src/cmsgmt.c,53,10,25.05139265071483,3.5632831298440797,0.7999562882851793,4.454347296253507,1.0,1.0,normal,none,none,,,,998,85,85,cmsDeleteTransform | cmsSliceSpace16,"    bp.hRoundTrip = cmsCreateTransformTHR(ContextID, hLab, TYPE_Lab_16,
                                          hProfile, dwFormatter, INTENT_PERCEPTUAL, cmsFLAGS_NOOPTIMIZE|cmsFLAGS_NOCACHE);

    cmsCloseProfile(hLab);
    if (bp.hRoundTrip == NULL) return 0;

    // For L* we only need black and white. For C* we need many points
    GridPoints[0] = 6;
    GridPoints[1] = 74;","    cmsCloseProfile(hLab);
    if (bp.hRoundTrip == NULL) return 0;

    // For L* we only need black and white. For C* we need many points
    GridPoints[0] = 6;
    GridPoints[1] = 74;
    GridPoints[2] = 74;

",non_resource_guard,blocked side 是 hRoundTrip != NULL 的正常 transform 計算路徑。,V
_cmsNewTag:675:0,_cmsNewTag,675,676,/src/lcms/src/cmsio0.c,11,16,33.73712555071182,3.295836866004329,1.0,3.295836866004329,1.0,1.0,normal,none,none,,,,1110000,26,26,cmsSignalError,"    }
    else  {

        // No, make a new one
        if (Icc -> TagCount >= MAX_TABLE_TAG) {
            cmsSignalError(Icc ->ContextID, cmsERROR_RANGE, ""Too many tags (%d)"", MAX_TABLE_TAG);
            return FALSE;
        }
","    else  {

        // No, make a new one
        if (Icc -> TagCount >= MAX_TABLE_TAG) {
            cmsSignalError(Icc ->ContextID, cmsERROR_RANGE, ""Too many tags (%d)"", MAX_TABLE_TAG);
            return FALSE;
        }

        *NewPos = (int) Icc ->TagCount;",non_resource_guard,tag 數量超過 MAX_TABLE_TAG，屬於 deterministic range guard。,V
cmsStageSampleCLut16bit:792:0,cmsStageSampleCLut16bit,792,793,/src/lcms/src/cmslut.c,12,45,33.72919864760544,0.0,1.0,0.0,0.0,1.0,normal,not_evaluated,,,,,2990000000,0,0,,"            for (t = 0; t < (int)nOutputs; t++)
                Out[t] = clut->Tab.T[index + t];
        }

        if (!Sampler(In, Out, Cargo))
            return FALSE;

        if (!(dwFlags & SAMPLER_INSPECT)) {
","                Out[t] = clut->Tab.T[index + t];
        }

        if (!Sampler(In, Out, Cargo))
            return FALSE;

        if (!(dwFlags & SAMPLER_INSPECT)) {

            if (clut ->Tab.T != NULL) {",unknown,Sampler 是 caller-provided callback，回傳 FALSE 的原因依 callback 而定，無法確認是否為 resource failure。,V
WriteStr:1730:0,WriteStr,1730,1732,/src/lcms/src/cmscgats.c,13,17,33.33940102895161,3.295836866004329,1.0,3.295836866004329,1.0,1.0,normal,none,none,,,,2930000,26,26,cmsSignalError,"    else {  // Or to a memory block?

        if (f ->Base) {   // Am I just counting the bytes?

            if (f ->Used > f ->Max) {

                 cmsSignalError(0, cmsERROR_WRITE, ""Write to memory overflows in CGATS parser"");
                 return;
            }","        if (f ->Base) {   // Am I just counting the bytes?

            if (f ->Used > f ->Max) {

                 cmsSignalError(0, cmsERROR_WRITE, ""Write to memory overflows in CGATS parser"");
                 return;
            }

            memmove(f ->Ptr, str, len);",non_resource_guard,Used > Max 是 CGATS memory output 的 counter/bounds overflow guard。,V
cmsDeleteTransform:162:0,cmsDeleteTransform,162,163,/src/lcms/src/cmsxform.c,18,13,31.961537141519546,3.5263605246161616,1.0,3.5263605246161616,1.0,1.0,normal,none,none,,,,107000,33,33,cmsFreeNamedColorList,"
    if (p ->InputColorant)
        cmsFreeNamedColorList(p ->InputColorant);

    if (p -> OutputColorant)
        cmsFreeNamedColorList(p ->OutputColorant);

    if (p ->Sequence)
        cmsFreeProfileSequenceDescription(p ->Sequence);","    if (p ->InputColorant)
        cmsFreeNamedColorList(p ->InputColorant);

    if (p -> OutputColorant)
        cmsFreeNamedColorList(p ->OutputColorant);

    if (p ->Sequence)
        cmsFreeProfileSequenceDescription(p ->Sequence);
",non_resource_guard,判斷 optional OutputColorant 是否存在，再執行 cleanup。,V
BuildRGBInputMatrixShaper:246:0,BuildRGBInputMatrixShaper,246,248,/src/lcms/src/cmsio1.c,14,28,33.01506554711993,2.793345508662962,1.0,2.793345508662962,0.45918367346938777,1.0,normal,not_evaluated,,,,,160000,45,98,_cmsStageAllocXYZ2Lab | cmsPipelineFree | cmsPipelineInsertStage,"
        // Note that it is certainly possible a single profile would have a LUT based
        // tag for output working in lab and a matrix-shaper for the fallback cases. 
        // This is not allowed by the spec, but this code is tolerant to those cases    
        if (cmsGetPCS(hProfile) == cmsSigLabData) {

            if (!cmsPipelineInsertStage(Lut, cmsAT_END, _cmsStageAllocXYZ2Lab(ContextID)))
                goto Error;
        }","        // tag for output working in lab and a matrix-shaper for the fallback cases. 
        // This is not allowed by the spec, but this code is tolerant to those cases    
        if (cmsGetPCS(hProfile) == cmsSigLabData) {

            if (!cmsPipelineInsertStage(Lut, cmsAT_END, _cmsStageAllocXYZ2Lab(ContextID)))
                goto Error;
        }

    }",non_resource_guard,依 PCS 是否為 Lab 決定是否加入 XYZ-to-Lab stage。,V
_cmsWriteUInt16Number:275:0,_cmsWriteUInt16Number,275,276,/src/lcms/src/cmsplugin.c,15,46,32.923086865534714,0.0,1.0,0.0,0.0,1.0,normal,not_evaluated,,,,,6540000000,0,0,,"
    _cmsAssert(io != NULL);

    tmp = _cmsAdjustEndianess16(n);
    if (io -> Write(io, sizeof(cmsUInt16Number), &tmp) != 1)
            return FALSE;

    return TRUE;
}","    _cmsAssert(io != NULL);

    tmp = _cmsAdjustEndianess16(n);
    if (io -> Write(io, sizeof(cmsUInt16Number), &tmp) != 1)
            return FALSE;

    return TRUE;
}
",resource_guard,io->Write(...) != 1 明確處理 I/O write failure，屬於外部 resource failure。,V
DefaultEvalParametricFn:513:0,DefaultEvalParametricFn,513,514,/src/lcms/src/cmsgamma.c,16,47,32.85015434684156,0.0,1.0,0.0,0.0,1.0,normal,not_evaluated,,,,,3430000000,0,0,,"    case -4:
    {

        e = Params[1] * Params[4] + Params[2];
        if (e < 0)
            disc = 0;
        else
            disc = pow(e, Params[0]);
","    {

        e = Params[1] * Params[4] + Params[2];
        if (e < 0)
            disc = 0;
        else
            disc = pow(e, Params[0]);

        if (R >= disc) {",non_resource_guard,Type -4 inverse curve 中 a*d+b < 0 時將 transition threshold disc 設為 0，避免負數的非整數次方，屬於數學 domain condition。,V
cmsBuildParametricToneCurve:879:0,cmsBuildParametricToneCurve,879,880,/src/lcms/src/cmsgamma.c,17,18,32.14076996308177,3.295836866004329,1.0,3.295836866004329,1.0,1.0,normal,unknown,same_variable_call_null_check_without_resource_evidence,GetParametricCurveByType,c,,357000,26,26,cmsSignalError,"    _cmsParametricCurvesCollection* c = GetParametricCurveByType(ContextID, Type, &Pos);

    _cmsAssert(Params != NULL);

    if (c == NULL) {
        cmsSignalError(ContextID, cmsERROR_UNKNOWN_EXTENSION, ""Invalid parametric curve type %d"", Type);
        return NULL;
    }
","
    _cmsAssert(Params != NULL);

    if (c == NULL) {
        cmsSignalError(ContextID, cmsERROR_UNKNOWN_EXTENSION, ""Invalid parametric curve type %d"", Type);
        return NULL;
    }

    memset(&Seg0, 0, sizeof(Seg0));",non_resource_guard,c == NULL 明確表示 invalid parametric curve type。,V
cmsOpenIOhandlerFromMem:260:0,cmsOpenIOhandlerFromMem,260,262,/src/lcms/src/cmsio0.c,19,31,31.832288912276674,2.1579884241695013,1.0,2.1579884241695013,0.30952380952380953,1.0,normal,not_evaluated,,,,,117000,26,84,_cmsFree | cmsSignalError,"            goto Error;
        }

        fm ->Block = (cmsUInt8Number*) _cmsMalloc(ContextID, size);
        if (fm ->Block == NULL) {

            _cmsFree(ContextID, fm);
            _cmsFree(ContextID, iohandler);
            cmsSignalError(ContextID, cmsERROR_READ, ""Couldn't allocate %ld bytes for profile"", (long) size);","
        fm ->Block = (cmsUInt8Number*) _cmsMalloc(ContextID, size);
        if (fm ->Block == NULL) {

            _cmsFree(ContextID, fm);
            _cmsFree(ContextID, iohandler);
            cmsSignalError(ContextID, cmsERROR_READ, ""Couldn't allocate %ld bytes for profile"", (long) size);
            return NULL;
        }",resource_guard,fm->Block 來自 _cmsMalloc，NULL 時明確回報 Couldn't allocate。,V
cmsStageAllocCLut16bitGranular:556:0,cmsStageAllocCLut16bitGranular,556,557,/src/lcms/src/cmslut.c,25,19,30.196775705945022,3.295836866004329,1.0,3.295836866004329,1.0,1.0,normal,none,none,,,,108000,26,26,cmsSignalError,"    cmsStage* NewMPE;

    _cmsAssert(clutPoints != NULL);

    if (inputChan > MAX_INPUT_DIMENSIONS) {
        cmsSignalError(ContextID, cmsERROR_RANGE, ""Too many input channels (%d channels, max=%d)"", inputChan, MAX_INPUT_DIMENSIONS);
        return NULL;
    }
","
    _cmsAssert(clutPoints != NULL);

    if (inputChan > MAX_INPUT_DIMENSIONS) {
        cmsSignalError(ContextID, cmsERROR_RANGE, ""Too many input channels (%d channels, max=%d)"", inputChan, MAX_INPUT_DIMENSIONS);
        return NULL;
    }

    NewMPE = _cmsStageAllocPlaceholder(ContextID, cmsSigCLutElemType, inputChan, outputChan,",non_resource_guard,input channel 超過 MAX_INPUT_DIMENSIONS，屬於 input range guard。,V
ComputeAbsoluteIntent:263:1,ComputeAbsoluteIntent,263,275,/src/lcms/src/cmscnvrt.c,48,20,25.898667431923027,3.241138444903815,0.7701565638517561,4.208415011999673,0.7941176470588235,1.0,normal,none,none,,,,502,108,136,CHAD2Temp | Temp2CHAD | _cmsMAT3identity | _cmsMAT3inverse | _cmsMAT3isIdentity | _cmsMAT3per,"    // TODO: Follow Marc Mahy's recommendation to check if CHAD is same by using M1*M2 == M2*M1. If so, do nothing.
    // TODO: Add support for ArgyllArts tag

    // Adaptation state
    if (AdaptationState == 1.0) {

        // Observer is fully adapted. Keep chromatic adaptation.
        // That is the standard V4 behaviour
        _cmsVEC3init(&m->v[0], WhitePointIn->X / WhitePointOut->X, 0, 0);","    }
    else  {

        // Incomplete adaptation. This is an advanced feature.
        _cmsVEC3init(&Scale.v[0], WhitePointIn->X / WhitePointOut->X, 0, 0);
        _cmsVEC3init(&Scale.v[1], 0,  WhitePointIn->Y / WhitePointOut->Y, 0);
        _cmsVEC3init(&Scale.v[2], 0, 0,  WhitePointIn->Z / WhitePointOut->Z);

",non_resource_guard,依 AdaptationState 選擇完整或不完整 chromatic adaptation。,V
DefaultICCintents:616:0,DefaultICCintents,616,617,/src/lcms/src/cmscnvrt.c,20,48,31.468677560372896,0.0,1.0,0.0,0.0,1.0,normal,not_evaluated,,,,,325000,0,0,,"            }
        }

        // Concatenate to the output LUT
        if (!cmsPipelineCat(Result, Lut))
            goto Error;

        cmsPipelineFree(Lut);
        Lut = NULL;","        }

        // Concatenate to the output LUT
        if (!cmsPipelineCat(Result, Lut))
            goto Error;

        cmsPipelineFree(Lut);
        Lut = NULL;
",unknown,cmsPipelineCat 可能因 stage duplication allocation failure，也可能因 channel chain 不一致失敗，無法唯一分類。,V
